km_driven,fuel,seller_type,transmission,owner,mileage,engine,max_power,seats,age,selling_price
145500.0,Diesel,Individual,Manual,First Owner,23.4,1248.0,74.0,5,6,450000.0
120000.0,Diesel,Individual,Manual,Second Owner,21.14,1498.0,103.52,5,6,370000.0
140000.0,Petrol,Individual,Manual,Third Owner,17.7,1497.0,78.0,5,14,158000.0
127000.0,Diesel,Individual,Manual,First Owner,23.0,1396.0,90.0,5,10,225000.0
120000.0,Petrol,Individual,Manual,First Owner,16.1,1298.0,88.2,5,13,130000.0
45000.0,Petrol,Individual,Manual,First Owner,20.14,1197.0,81.86,5,3,440000.0
175000.0,LPG,Individual,Manual,First Owner,17.3,1061.0,57.5,5,13,96000.0
5000.0,Petrol,Individual,Manual,Second Owner,16.1,796.0,37.0,4,19,45000.0
90000.0,Diesel,Individual,Manual,First Owner,23.59,1364.0,67.1,5,9,350000.0
169000.0,Diesel,Individual,Manual,First Owner,20.0,1399.0,68.1,5,7,200000.0
68000.0,Diesel,Individual,Manual,Second Owner,19.01,1461.0,108.45,5,6,500000.0
100000.0,Petrol,Individual,Manual,Second Owner,17.3,993.0,60.0,5,15,92000.0
140000.0,Diesel,Individual,Manual,Second Owner,19.3,1248.0,73.9,5,11,280000.0
90000.0,Petrol,Individual,Manual,Second Owner,18.9,1061.0,67.0,5,11,180000.0
40000.0,Petrol,Individual,Manual,First Owner,18.15,1198.0,82.0,5,4,400000.0
70000.0,Diesel,Individual,Manual,Second Owner,24.52,1248.0,88.5,7,4,778000.0
53000.0,Diesel,Individual,Manual,Second Owner,23.0,1396.0,90.0,5,8,500000.0
80000.0,Petrol,Individual,Manual,Second Owner,19.7,796.0,46.3,5,18,150000.0
100000.0,Diesel,Individual,Manual,First Owner,22.54,1396.0,88.73,5,4,680000.0
100000.0,Diesel,Individual,Manual,Second Owner,21.0,1461.0,64.1,5,9,174000.0
50000.0,Diesel,Individual,Manual,First Owner,25.5,1498.0,98.6,5,3,950000.0
40000.0,Diesel,Individual,Manual,First Owner,26.59,1248.0,74.0,5,5,525000.0
72000.0,Diesel,Individual,Manual,First Owner,21.5,1248.0,88.8,5,8,600000.0
35000.0,Petrol,Individual,Manual,First Owner,20.3,1199.0,83.81,5,2,500000.0
45000.0,Petrol,Individual,Manual,First Owner,21.4,1197.0,83.1,5,4,575000.0
28000.0,Petrol,Individual,Manual,First Owner,24.7,796.0,47.3,5,3,275000.0
70000.0,Diesel,Individual,Manual,First Owner,18.2,1248.0,73.8,7,7,300000.0
120000.0,Petrol,Individual,Manual,First Owner,18.9,1061.0,67.0,5,11,220000.0
25000.0,Petrol,Individual,Manual,First Owner,16.8,796.0,34.2,8,2,254999.0
70000.0,Diesel,Individual,Manual,First Owner,24.3,1248.0,88.5,5,3,670000.0
35000.0,Petrol,Individual,Manual,Second Owner,14.0,796.0,35.0,5,8,150000.0
2388.0,Petrol,Individual,Manual,First Owner,18.6,1197.0,81.83,5,2,730000.0
16200.0,Diesel,Individual,Manual,First Owner,24.3,1248.0,88.5,5,3,650000.0
10000.0,CNG,Individual,Manual,Second Owner,33.44,796.0,40.3,4,1,330000.0
15000.0,Petrol,Individual,Manual,First Owner,23.95,998.0,67.1,5,1,366000.0
5000.0,Petrol,Individual,Manual,First Owner,17.0,1591.0,121.3,5,1,1149000.0
42000.0,Petrol,Individual,Manual,First Owner,20.63,1198.0,67.0,5,4,150000.0
60000.0,Diesel,Individual,Manual,Second Owner,13.93,2179.0,138.03,7,9,425000.0
76000.0,Petrol,Individual,Manual,First Owner,16.1,796.0,37.0,4,8,150000.0
5000.0,Petrol,Individual,Automatic,First Owner,16.0,1368.0,160.77,5,1,2100000.0
28900.0,Petrol,Dealer,Manual,First Owner,17.8,1497.0,117.3,5,2,925000.0
86300.0,Petrol,Dealer,Manual,First Owner,16.8,1497.0,116.3,5,7,425000.0
23300.0,Petrol,Dealer,Automatic,First Owner,18.5,1197.0,83.14,5,2,675000.0
32600.0,Diesel,Dealer,Manual,First Owner,24.3,1248.0,88.5,5,2,819999.0
10300.0,Petrol,Dealer,Manual,First Owner,23.95,998.0,67.05,5,2,390000.0
77000.0,Diesel,Dealer,Manual,First Owner,12.55,2982.0,168.5,7,6,1500000.0
99000.0,Diesel,Dealer,Manual,First Owner,12.99,2494.0,100.0,7,7,700000.0
27800.0,Diesel,Dealer,Automatic,Second Owner,14.8,2143.0,120.7,5,6,1450000.0
49800.0,Diesel,Dealer,Manual,First Owner,24.7,1498.0,98.63,5,5,425000.0
151000.0,Diesel,Dealer,Manual,First Owner,13.5,2477.0,175.56,7,7,1090000.0
54700.0,Diesel,Dealer,Manual,First Owner,26.0,1498.0,98.6,5,5,600000.0
