iter	RMSE
0	510616.192
1	492194.7179
2	473983.4024
3	458267.328
4	443010.4016
5	428971.1322
6	416038.2434
7	402795.5392
8	390693.5128
9	379179.7578
10	367867.8738
11	356798.2556
12	347558.0778
13	339455.1675
14	331235.6479
15	322390.1779
16	315122.0905
17	306641.2818
18	298783.36
19	292386.1605
20	285900.3913
21	279280.6892
22	272994.3282
23	267541.2134
24	262027.962
25	256621.2705
26	252097.1204
27	247178.239
28	242641.9254
29	238573.0082
30	234997.0721
31	231084.8948
32	227396.0414
33	223972.7971
34	220696.4679
35	217334.0173
36	214333.4695
37	211334.5436
38	208493.123
39	206287.7111
40	205353.8343
41	203110.7557
42	201129.9748
43	199060.6511
44	197343.471
45	195084.5994
46	193977.1501
47	192454.7518
48	190777.1835
49	189788.4137
50	188125.05
51	187716.4294
52	187318.7312
53	186228.0889
54	185834.4982
55	185460.2892
56	184367.8289
57	184127.4201
58	183550.1118
59	182983.2309
60	181882.5892
61	181344.5432
62	180331.3941
63	180125.6549
64	179026.1254
65	178816.3783
66	178049.9535
67	177336.982
68	177080.4173
69	176395.288
70	175310.4177
71	175141.0213
72	174976.4922
73	174129.4021
74	173497.7866
75	172796.6989
76	172333.8423
77	172117.0654
78	171895.2708
79	171316.1178
80	170361.5022
81	169895.3033
82	169286.662
83	168509.6931
84	168332.439
85	167420.5671
86	167148.1644
87	166953.0812
88	166340.251
89	166231.4799
90	166116.8437
91	165512.6024
92	165102.161
93	164947.5834
94	164441.3535
95	164227.7475
96	163633.6537
97	163069.5616
98	162281.5198
99	162104.9616
100	161836.8377
101	161128.1278
102	161007.7533
103	160757.4909
104	160197.6279
105	160063.5294
106	159906.2805
107	159801.8753
108	159350.3594
109	158777.9411
110	158309.7368
111	157880.4775
112	157464.5229
113	157121.4756
114	156988.2576
115	156549.4582
116	155896.6958
117	155337.3371
118	155244.0019
119	155193.4661
120	155139.7446
121	154625.5126
122	154244.3773
123	154146.8321
124	153856.166
125	153373.665
126	153332.6662
127	152591.1315
128	152149.643
129	151430.5626
130	151082.1489
131	150995.1675
132	150880.8901
133	150615.4542
134	150306.1236
135	150134.2487
136	149418.661
137	149089.7699
138	148825.0305
139	148629.4297
140	148194.1146
141	148074.325
142	147865.6779
143	147777.0273
144	147726.1312
145	147398.7304
146	147347.1413
147	147210.7543
148	147171.6776
149	146723.8003
150	146295.5308
151	145926.638
152	145735.5428
153	145668.6437
154	145490.9462
155	145110.5122
156	144705.2858
157	144284.8439
158	143815.5891
159	143251.1095
160	142913.589
161	142626.319
162	142184.6331
163	141866.5607
164	141529.3607
165	141209.9506
166	140830.2204
167	140671.6162
168	140395.5217
169	140144.5966
170	139774.6346
171	139565.7442
172	139265.6358
173	138891.5656
174	138780.914
175	138605.434
176	138452.2856
177	138331.5362
178	138135.5852
179	137834.7191
180	137735.2335
181	137400.8987
182	137273.8501
183	136999.3917
184	136719.0706
185	136394.1666
186	136136.7696
187	135963.1527
188	135784.3463
189	135574.7099
190	135347.0419
191	135053.5741
192	134778.5412
193	134464.8737
194	134242.2255
195	134019.904
196	133873.5214
197	133717.7946
198	133462.1124
199	133335.8853
200	133061.7436
201	132915.2005
202	132607.0763
203	132368.1364
204	132133.2144
205	132002.5062
206	131792.6863
207	131441.0737
208	131325.2152
209	131202.1334
210	131160.8464
211	130968.1019
212	130730.5039
213	130448.1207
214	130331.1957
215	130184.5193
216	130068.4598
217	129780.4225
218	129720.9793
219	129514.7402
220	129370.597
221	129123.7631
222	128904.306
223	128625.3734
224	128364.1171
225	128272.982
226	128081.4975
227	127702.611
228	127367.1372
229	127158.1008
230	127091.0042
231	126925.1552
232	126693.4211
233	126584.8449
234	126332.5068
235	126075.0552
236	125939.2579
237	125663.3737
238	125427.1457
239	125157.5309
240	125031.3129
241	124792.5569
242	124570.0893
243	124484.6726
244	124132.3666
245	123971.3704
246	123761.3515
247	123612.1125
248	123478.392
249	123405.6602
250	123204.0042
251	122989.5252
252	122912.6639
253	122672.6904
254	122436.3411
255	122191.3767
256	121948.8793
257	121761.7686
258	121623.9058
259	121430.3419
260	121185.8681
261	121006.2228
262	120926.7689
263	120800.3922
264	120664.5634
265	120539.0823
266	120313.2041
267	120094.2817
268	119946.3563
269	119733.0676
270	119583.7759
271	119530.8995
272	119437.5504
273	119303.8771
274	119095.4391
275	118891.9624
276	118834.3914
277	118711.0264
278	118553.7681
279	118407.8139
280	118279.863
281	118011.3935
282	117769.7288
283	117492.0125
284	117375.3892
285	117242.9876
286	117083.8158
287	116841.5412
288	116652.9256
289	116426.4124
290	116211.314
291	116053.4712
292	115948.4663
293	115787.7269
294	115590.5773
295	115498.5294
296	115360.3951
297	115204.0495
298	115036.1995
299	114923.5323
300	114775.3061
301	114600.8834
302	114533.665
303	114463.5379
304	114314.3536
305	114238.3907
306	114139.9633
307	114076.0991
308	113916.5801
309	113749.0137
310	113642.9187
311	113458.979
312	113390.9196
313	113213.0412
314	113112.9768
315	112982.4714
316	112839.3394
317	112692.614
318	112591.7844
319	112491.1356
320	112290.0986
321	112106.8603
322	111947.3319
323	111868.6781
324	111763.8432
325	111699.8127
326	111585.0929
327	111472.5525
328	111345.5127
329	111259.0541
330	111193.0187
331	111133.4845
332	110961.9734
333	110818.4438
334	110701.2859
335	110612.2517
336	110551.4619
337	110439.092
338	110291.5906
339	110175.8886
340	109958.1132
341	109878.8352
342	109756.67
343	109616.7225
344	109520.7663
345	109387.5338
346	109245.8993
347	109085.0975
348	109005.5084
349	108902.9429
350	108824.3182
351	108767.4246
352	108637.7418
353	108533.7642
354	108406.477
355	108330.7866
356	108233.9306
357	108080.9307
358	107982.5675
359	107910.1244
360	107842.3974
361	107719.6966
362	107629.586
363	107570.0075
364	107461.7445
365	107340.535
366	107180.2041
367	107088.7025
368	106994.1832
369	106923.6227
370	106864.0041
371	106772.9032
372	106754.6758
373	106641.9571
374	106488.5177
375	106365.2427
376	106261.7541
377	106176.7893
378	106056.3135
379	105992.6858
380	105847.5814
381	105756.8535
382	105679.1086
383	105590.5145
384	105511.3774
385	105411.9071
386	105293.1363
387	105218.0842
388	105164.5911
389	105125.5667
390	105054.988
391	104967.5398
392	104922.9882
393	104795.2573
394	104684.8199
395	104542.5528
396	104435.0595
397	104328.1889
398	104231.7286
399	104172.1102
400	104058.705
401	103954.1912
402	103862.2932
403	103774.136
404	103700.9439
405	103644.9099
406	103576.8007
407	103458.6727
408	103453.7635
409	103380.0755
410	103312.9139
411	103196.867
412	103097.1485
413	103053.7986
414	102978.0899
415	102962.0345
416	102853.4715
417	102785.1073
418	102693.7881
419	102551.6441
420	102484.9367
421	102337.0291
422	102264.3886
423	102199.7235
424	102081.7253
425	102039.0599
426	101945.0483
427	101892.5106
428	101787.642
429	101725.5496
430	101652.5571
431	101596.272
432	101546.6405
433	101446.8375
434	101391.8366
435	101337.5735
436	101266.258
437	101139.9338
438	101049.5165
439	100974.3079
440	100926.8321
441	100834.3811
442	100805.6973
443	100752.2818
444	100692.5956
445	100617.8637
446	100561.7895
447	100472.2087
448	100396.5344
449	100284.9946
450	100227.6019
451	100148.9067
452	100049.6911
453	99916.59674
454	99830.74979
455	99743.3004
456	99700.15409
457	99655.212
458	99579.84709
459	99489.63983
460	99376.38251
461	99319.97102
462	99288.46091
463	99196.39314
464	99113.25678
465	98997.26934
466	98900.75834
467	98821.58729
